 GeneSymbol	 `SC_LT34F_BM`	`SC_LTSL_BM`	`SC_STSL_BM`	`SC_LTSL_FL`	`SC_STSL_FL`	`SC_MPP34F_BM`	`SC_ST34F_BM`	`SC_CMP_BM`	`SC_MEP_BM`	`SC_GMP_BM`	`SC_CDP_BM`	`SC_MDP_BM`	`MLP_BM`	`MLP_FL`	`proB_CLP_BM`	`proB_FrA_BM`	`proB_FrBC_BM`	`preB_FrC_BM`	`preB_FrD_BM`	`B_FrE_BM`	`proB_CLP_FL`	`proB_FrA_FL`	`proB_FrBC_FL`	`preB_FrD_FL`	`B_FrE_FL`	`B_T1_Sp`	`B_T2_Sp`	`B_T3_Sp`	`B_Fo_Sp`	`B_GC_Sp`	`B_MZ_Sp`	`B1a_Sp`	`B_FrF_BM`	`B_Fo_MLN`	`B_Fo_LN`	`B_Fo_PC`	`B1b_PC`	`B1a_PC`	`DC_8-_Th`	`DC_8+_Th`	`DC_4+_Sp`	`DC_8+_Sp`	`DC_8-4-11b-_Sp`	`DC_8-4-11b+_Sp`	`DC_pDC_8-_Sp`	`DC_pDC_8+_Sp`	`DC_4+_SLN`	`DC_8+_SLN`	`DC_8-4-11b-_SLN`	`DC_8-4-11b+_SLN`	`DC_pDC_8+_SLN`	`DC_IIhilang-103-11blo_SLN`	`DC_IIhilang-103-11b+_SLN`	`DC_IIhilang+103+11blo_SLN`	`DC_IIhilang+103-11b+_SLN`	`DC_4+_MLN`	`DC_8+_MLN`	`DC_8-4-11b-_MLN`	`DC_8-4-11b+_MLN`	`DC_pDC_8+_MLN`	`DC_LC_Sk`	`DC_103-11b+_Lv`	`DC_103+11b-_Lv`	`DC_103+11b-_LuLN`	`DC_103-11b+_LuLN`	`DC_103-11b+24+_Lu`	`DC_103+11b-_Lu`	`DC_103-11b+_PolyIC_Lu`	`DC_103+11b-_PolyIC_Lu`	`DC_103-11b+F4/80lo_Kd`	`DC_103+11b-_SI`	`DC_103+11b+_SI`	`DC_103+11b-_Salm3_SI`	`DC_103+11b+_Salm3_SI`	`MF_BM`	`MF_RP_Sp`	`MF_Lu`	`MF_103-11b+24-_Lu`	`MF_II+480lo_PC`	`MF_103-11b+_SI`	`MF_11cloSer_SI`	`MF_103-11b+_Salm3_SI`	`MF_11cloSer_Salm3_SI`	`MF_II-480hi_PC`	`MF_Microglia_CNS`	`MF_Thio5_II+480int_PC`	`MF_Thio5_II-480int_PC`	`MF_Thio5_II-480hi_PC`	`MF_Thio5_II+480lo_PC`	`Mo_6C+II-_BM`	`Mo_6C-II-_BM`	`Mo_6C+II-_Bl`	`Mo_6C+II+_Bl`	`Mo_6C-II-_Bl`	`Mo_6C-II+_Bl`	`Mo_6C-IIint_Bl`	`Mo_6C+II-_LN`	`GN_BM`	`GN_Bl`	`GN_Arth_BM`	`GN_Arth_SynF`	`GN_UrAc_PC`	`GN_Thio_PC`	`NK_Sp`	`NK_49CI-_Sp`	`NK_49CI+_Sp`	`NK_49H-_Sp`	`NK_49H+_Sp`	`NK_MCMV1_Sp`	`NK_MCMV7_Sp`	`NK_H+_MCMV1_Sp`	`NK_H+_MCMV7_Sp`	`NK_b2m-_Sp`	`NK_DAP10-_Sp`	`NK_DAP12-_Sp`	`preT_ETP_Th`	`preT_ETP-2A_Th`	`preT_DN2_Th`	`preT_DN2A_Th`	`preT_DN2B_Th`	`preT_DN2-3_Th`	`preT_DN3A_Th`	`preT_DN3B_Th`	`preT_DN3-4_Th`	`T_DN4_Th`	`T_ISP_Th`	`T_DP_Th`	`T_DPbl_Th`	`T_DPsm_Th`	`T_DP69+_Th`	`T_4+8int_Th`	`T_4SP69+_Th`	`T_4SP24int_Th`	`T_4SP24-_Th`	`T_4int8+_Th`	`T_8SP69+_Th`	`T_8SP24int_Th`	`T_8SP24-_Th`	`T_4Nve_Sp`	`T_4Mem_Sp`	`T_4Mem44h62l_Sp`	`T_4Nve_LN`	`T_4Mem_LN`	`T_4Mem44h62l_LN`	`T_4Nve_PP`	`T_4Nve_MLN`	`T_4_LN_BDC`	`T_4_PLN_BDC`	`T_4_Pa_BDC`	`T_4FP3-_Sp`	`T_4FP3+25+_Sp`	`T_4FP3+25+_AA`	`T_4FP3+25+_LN`	`T_8Nve_Sp`	`T_8Mem_Sp`	`T_8Nve_LN`	`T_8Mem_LN`	`T_8Nve_PP`	`T_8Nve_MLN`	`T_8Nve_Sp_OT1`	`T_8Eff_Sp_OT1_d5_VSVOva`	`T_8Eff_Sp_OT1_d6_VSVOva`	`T_8Eff_Sp_OT1_d8_VSVOva`	`T_8Eff_Sp_OT1_d15_VSVOva`	`T_8Mem_Sp_OT1_d45_VSVOva`	`T_8Mem_Sp_OT1_d106_VSVOva`	`T_8Eff_Sp_OT1_12hr_LisOva`	`T_8Eff_Sp_OT1_24hr_LisOva`	`T_8Eff_Sp_OT1_48hr_LisOva`	`T_8Eff_Sp_OT1_d6_LisOva`	`T_8Eff_Sp_OT1_d8_LisOva`	`T_8Eff_Sp_OT1_d10_LisOva`	`T_8Eff_Sp_OT1_d15_LisOva`	`T_8Mem_Sp_OT1_d45_LisOva`	`T_8Mem_Sp_OT1_d100_LisOva`	`NKT_44-NK1_1-_Th`	`NKT_44+NK1_1-_Th`	`NKT_44+NK1_1+_Th`	`NKT_4+_Sp`	`NKT_4-_Sp`	`NKT_4+_Lv`	`NKT_4-_Lv`	`Tgd_Th`	`Tgd_vg1+vd6-24ahi_Th`	`Tgd_vg1+vd6+24ahi_Th`	`Tgd_vg2+24ahi_Th`	`Tgd_vg2+24ahi_e17_Th`	`Tgd_vg3+24ahi_e17_Th`	`Tgd_vg5+24ahi_Th`	`Tgd_vg1+vd6-24alo_Th`	`Tgd_vg1+vd6+24alo_Th`	`Tgd_vg2+24alo_Th`	`Tgd_vg3+24alo_e17_Th`	`Tgd_Sp`	`Tgd_vg2-_Sp`	`Tgd_vg2-_act_Sp`	`Tgd_vg2+_Sp`	`Tgd_vg2+_act_Sp`	`Tgd_vg2-_Sp_TCRbko`	`Tgd_vg2+_Sp_TCRbko`	`Tgd_vg5-_IEL`	`Tgd_vg5+_IEL`	`Tgd_vg5-_act_IEL`	`Tgd_vg5+_act_IEL`	`Ep_MEChi_Th`	`Fi_MTS15+_Th`	`Fi_Sk`	`FRC_MLN`	`FRC_SLN`	`LEC_MLN`	`LEC_SLN`	`BEC_MLN`	`BEC_SLN`	`St_31-38-44-_SLN`
 Jag2	74.2142	84.9659	85.4422	89.9434	95.6524	84.2949	66.3739	89.6862	60.7871	86.2282	56.7002	73.0329	80.4703	96.6915	72.7423	80.0281	72.0765	71.1439	68.5071	83.2227	81.5465	75.4954	78.6335	68.9439	74.669	68.3275	66.5641	68.5078	62.4709	62.2617	73.3032	64.0239	73.9691	73.2705	67.6402	72.5959	61.6002	63.848	187.137	168.135	64.2451	95.1775	79.8492	86.5804	66.857	70.7915	92.4663	141.068	95.0628	65.6878	65.3656	83.9881	64.5526	101.18	86.5362	76.8311	135.812	112.104	69.1367	68.6237	238.172	72.9414	116.541	84.9939	67.5899	85.0873	118.094	85.2847	150.9	56.3919	365.333	304.583	317.753	169.39	87.4865	69.8937	62.8184	86.8772	64.4513	184.174	132.821	130.872	124.923	58.1537	120.308	59.8883	50.3942	62.8584	67.3755	68.7196	86.6162	55.8624	78.2664	72.5917	87.8578	66.9848	73.776	65.8654	84.4714	84.1177	107.837	85.0359	86.0352	92.787	82.5122	84.7165	76.9556	74.0199	79.1982	73.0764	80.2032	74.7373	65.7686	73.7168	71.0817	175.216	159.62	94.5625	141.514	90.2631	75.7565	101.249	83.8824	85.0394	69.7831	67.97	89.3232	72.5775	85.3749	78.8976	98.389	82.4447	80.1241	81.3451	78.3601	63.6137	73.3872	77.9602	75.4077	71.832	77.6925	87.9891	88.7176	74.473	72.4701	95.8739	90.8075	76.877	76.9969	84.1311	94.9087	79.4564	77.8391	85.5582	74.8604	73.124	92.3211	91.4598	72.3968	64.4332	61.8818	91.8004	87.0203	94.6574	82.3706	89.5474	69.7382	69.3627	71.0923	65.6551	68.0709	77.2165	74.9582	74.4554	76.0121	79.4045	71.689	83.8123	88.3301	74.2998	69.1778	82.378	82.5187	70.6791	82.8427	81.0993	76.8636	75.0744	79.1459	81.9108	74.7746	107.344	76.5651	85.4411	82.355	73.2552	79.039	94.1718	86.3096	95.5468	79.832	76.5356	75.5153	76.467	86.9221	81.0895	74.5615	63.2679	65.0065	139.566	120.246	473.728	451.256	83.6497
 Dll1	65.4905	62.9805	62.9044	59.5364	56.6843	59.0807	57.101	78.5778	59.5836	81.3386	61.5077	68.3004	58.2288	51.3443	65.0346	74.5412	57.119	64.2317	76.6036	73.0583	65.6908	64.6357	62.4232	59.9229	64.8359	71.7675	63.2378	80.8711	82.0123	80.8389	66.4172	67.7107	81.0331	84.8916	88.9346	75.9898	60.7638	64.8137	55.2243	54.2698	73.0099	68.5226	65.3523	91.5445	127.098	144.644	96.7299	78.3027	68.9777	66.3201	115.037	84.5928	66.3341	70.575	82.6005	93.9298	71.0029	78.3908	73.0729	102.528	167.467	85.214	71.3946	78.5481	82.8454	66.1604	70.3645	80.0007	74.8046	70.3867	63.006	62.7144	61.8428	77.0726	81.4391	63.745	61.2858	81.7948	60.2501	65.3254	60.5528	71.6949	72.5675	66.4831	82.202	60.5395	65.0036	70.8446	63.8992	82.8351	80.4605	59.8969	76.0469	74.218	94.2256	63.8754	65.2048	65.0771	79.4083	81.0096	104.292	88.8917	72.9429	109.007	104.789	81.1774	133.686	108.015	100.518	92.8378	85.2985	86.2371	89.9735	75.2527	100.287	65.1233	66.4489	65.7032	53.6313	60.3453	70.161	72.1628	62.6576	70.5217	75.4212	60.5196	97.9147	61.6425	77.5561	71.1704	82.72	68.0177	72.6587	64.6682	63.9494	69.1697	60.7705	69.3286	64.8487	63.6074	74.9845	62.1138	79.645	54.6077	78.2017	80.7439	78.4838	75.5283	61.6256	74.181	76.8665	70.7296	59.6364	81.9565	69.189	66.5572	94.2249	79.8923	70.0908	60.6916	66.354	85.0133	82.4523	96.0844	69.4885	82.6109	60.4352	67.2185	62.4278	62.6699	65.8445	73.0378	89.5789	72.2624	74.06	69.1047	57.7353	70.7462	82.8394	66.8167	68.4839	67.3959	80.3629	66.46	62.5743	67.168	57.5368	70.3051	57.3933	69.3878	60.9282	61.9978	71.1754	95.1125	78.4229	85.4284	69.359	72.9906	82.4345	87.4084	77.8678	67	74.8013	68.2577	102.671	190.088	111.232	114.594	136.655	297.643	376.824	614.124	778.254	113.689
 Dll4	73.2983	71.3952	70.6974	76.409	93.7598	60.2911	53.7862	68.3764	60.4744	72.2638	54.438	62.672	55.3605	60.3144	56.6042	73.8878	66.2623	61.4049	76.4567	78.6983	53.7355	51.5216	56.437	59.9007	69.0691	74.1141	62.4801	60.7632	65.7836	61.5953	72.0538	60.5486	70.331	77.8418	74.8397	81.2032	60.4297	64.9298	77.7237	67.3605	74.2225	72.9088	85.3425	90.6896	242.719	247.398	111.751	88.5795	74.6207	109.182	195.215	106.984	106.308	72.347	114.483	106.006	85.9596	136.977	131.187	186.397	72.2053	121.544	125.115	95.7371	108.723	88.6263	68.0877	81.1755	85.2462	73.1233	80.0274	80.424	76.7561	80.7094	65.4282	72.06	66.6844	80.8481	69.4404	68.4055	62.0697	90.2127	86.343	68.883	89.3965	60.7182	66.8707	71.0195	63.6518	72.293	78.0663	69.9823	75.0203	80.0661	97.0437	78.5965	85.8684	74.6739	98.9788	86.1639	89.5039	90.0687	88.3361	83.8911	79.2712	86.9024	71.0588	61.8622	71.7407	67.2834	63.8977	70.6277	74.7797	76.3988	74.3987	65.4195	80.5551	61.7347	69.7038	66.6284	66.7593	66.4767	60.2477	69.0489	63.1062	57.5506	87.677	57.4876	75.7604	72.5626	79.9867	61.3985	67.9784	62.7021	72.2245	62.6348	61.0044	63.9332	62.9413	64.9728	56.5521	67.4198	78.409	66.5646	83.7431	85.5921	78.1856	69.8576	71.7649	79.5823	78.5503	70.0775	59.678	82.7789	63.4326	67.0132	83.8559	93.5797	80.0211	61.684	58.3798	90.9298	79.5063	111.672	72.2252	91.036	67.6704	65.6417	70.6428	54.9259	77.4438	75.2441	93.9861	74.4406	73.3392	71.9697	53.0816	71.4683	69.9348	74.5823	68.2327	83.9042	60.481	48.4289	52.4806	67.2357	54.0416	70.6836	58.8246	84.3035	53.514	76.382	56.1072	78.0654	71.8853	77.3234	71.5797	73.2792	79.9398	79.7943	70.2902	69.1569	69.0257	58.2431	213.325	135.497	82.7426	299.849	233.976	602.679	720.363	1005.64	1501.71	154.103
 Jag1	60.6152	53.3879	55.471	60.571	55.2954	53.5519	48.1327	60.472	47.6161	62.5256	52.19	60.2364	43.8259	54.6303	52.2369	66.2046	48.8515	42.7637	49.2934	54.774	53.5855	49.0931	54.0871	48.7612	46.0266	53.4489	46.1834	45.8399	40.7443	45.7367	45.2886	45.9977	59.2546	47.625	55.5229	50.1834	48.9628	58.7929	124.338	104.345	263.657	159.551	149.832	164.915	48.1461	51.3553	128.404	188.811	1051.82	581.607	52.0881	992.779	583.652	1383.07	500.22	422.113	197.853	1336.79	807.374	50.5288	352.757	100.282	56.9209	1516.95	685.477	112.202	138.373	214.052	129.924	55.0183	111.41	95.7268	81.9455	147.205	61.101	91.9248	251.952	163.808	116.583	53.438	61.0966	92.0421	97.9839	649.044	72.2599	156.772	138.641	180.499	121.715	64.5496	103.754	62.7745	68.2462	258.533	74.8995	257.13	81.5366	163.147	81.5597	141.48	93.8214	80.2256	66.5914	74.8323	66.062	55.5568	65.018	49.7718	53.7937	58.6841	52.7384	54.5126	63.7647	54.5154	63.549	55.4326	60.017	49.3087	49.7621	50.4845	54.7238	49.5827	46.5216	60.4241	54.4023	47.8409	63.5043	47.4417	64.2099	52.359	63.3015	53.3854	59.4959	51.7996	56.9431	48.0512	38.9575	47.3679	46.083	54.5252	61.8543	51.5943	58.867	46.4748	57.3618	51.0824	59.5851	53.8694	49.3099	59.2793	63.5182	174.042	49.2527	65.8233	49.8599	49.0975	66.3073	56.6477	56.6849	50.0013	49.513	61.384	56.1382	69.536	50.9151	60.1988	55.4141	48.9971	55.5603	46.0133	52.5466	55.1692	60.8182	49.4238	58.8965	186.704	140.328	196.978	68.9894	96.6713	86.2845	112.36	99.6303	48.7532	46.758	64.0405	129.015	88.7828	58.0448	109.204	521.716	848.088	85.765	83.5907	54.3389	105.234	55.7578	275.425	57.7477	62.1881	57.0486	62.7502	58.173	44.1634	301.552	707.624	369.454	411.874	941.486	1147.86	1581.52	612.656	603.024	1218.7
 Dll3	42.0311	54.7149	47.6744	48.4872	46.6258	47.9421	44.0869	68.5006	47.4246	59.2215	40.8626	43.8088	47.7639	44.2544	51.2704	62.0776	50.3052	48.1242	47.5181	61.68	44.4563	45.4705	51.6745	52.3965	54.6668	54.7691	53.2104	46.3058	46.0696	44.136	49.7182	46.8645	58.6783	53.0251	55.1373	61.2585	44.322	47.7393	41.1702	43.1541	55.4265	59.6909	57.2505	65.1256	50.6066	48.881	73.3182	69.3323	53.9298	52.7258	51.3306	71.8915	54.2585	56.3874	70.3216	57.6941	57.5692	48.634	57.2974	58.6991	66.5904	57.3415	58.817	56.9509	46.4844	42.3793	52.1298	58.0152	58.1495	45.7895	47.8192	46.2809	43.7613	49.117	61.9446	49.141	53.4967	59.9742	51.2695	40.3901	45.2702	51.0475	48.2173	43.765	66.3874	48.5837	46.3009	50.0929	54.6846	54.722	53.7464	46.7569	55.7926	60.1479	87.5914	49.775	51.0437	53.1231	71.585	64.4055	77.5036	72.2202	61.4176	65.9346	58.6237	56.5517	58.9571	58.8	54.4538	65.1816	63.8115	53.0452	60.9216	54.9244	59.3436	50.5216	55.1374	46.4497	43.032	48.8371	52.7887	50.88	56.0612	57.0949	53.0326	58.0367	88.0254	53.3213	50.6111	63.4511	71.1446	55.38	56.3187	52.873	59.2607	60.9122	50.1827	55.5863	50.9369	53.2078	51.6474	59.9761	58.8378	53.4367	52.1657	55.4819	57.6243	55.4053	70.7862	58.1301	64.2475	61.9923	47.0722	69.1335	54.2792	57.7491	66.4727	70.7108	49.1483	52.5054	54.9949	57.9478	65.3649	68.2937	56.329	61.1455	54.4437	53.6705	52.7953	49.644	55.2075	59.4901	60.8971	54.2096	63.3976	56.2476	48.7213	57.273	65.2595	65.2541	51.4839	63.7498	57.4997	49.478	50.3429	59.2111	48.7206	64.3983	42.0335	66.8821	49.7949	51.8511	51.2081	59.7412	64.8887	64.5518	68.6355	63.7127	62.7836	68.0292	64.0192	56.6552	59.8775	46.3105	71.4386	44.4409	48.3737	50.4464	45.7756	51.4275	38.5335	47.7164	46.6281	50.1139
 Rfng	155.12	242.159	226.081	220.955	184.24	166.017	174.841	131.713	245.975	213.985	201.457	174.788	210.265	181.29	178.863	170.073	189.434	201.582	236.218	244.747	178.531	161.895	136.334	161.458	198.731	219.654	215.816	192.156	180.038	171.561	178.082	173.037	188.846	169.81	206.153	190.671	219.777	208.874	157.316	180.91	159.659	167.799	187.21	232.471	183.439	172.738	186.7	204.947	155.633	166.795	183.267	135.282	128.343	131.83	173.655	187.103	197.219	132.654	169.725	151.736	173.413	204.009	235.743	117.022	146.349	185.576	194.224	169.8	183.772	218.447	183.106	187.154	184.679	178.523	229.017	185.586	189.086	164.586	173.287	171.523	178.397	181.772	218.318	163.531	235.11	214.759	202.412	207.022	192.011	251.627	239.85	241.989	202.816	192.985	208.407	189.353	197.361	205.559	205.67	201.068	138.736	204.396	160.073	264.677	189.048	214.885	248.829	231.933	188.22	182.115	293.427	312.513	214.917	187.421	263.846	191.029	245.527	223.973	166.466	185.962	291.73	291.826	277.52	232.135	235.953	234.375	297.577	250.42	271.06	249.868	256.691	244.936	228.73	240.379	268.607	219.91	224.669	232.828	225.499	214.484	193.375	209.524	188.055	209.513	206.489	246.036	275.326	214.247	212.143	256.491	213.203	168.395	163.27	226.627	225.342	212.489	195.243	212.144	246.202	210.783	230.18	236.383	264.355	208.452	246.485	181.993	167.498	164.215	196.896	247.703	263.316	260.45	235.564	192.542	224.031	161.967	140.847	205.109	190.462	160.988	198.051	191.245	218.767	165.387	167.129	250.321	205.747	153.855	158.619	188.881	129.669	229.268	211.548	184.51	228.573	227.059	193.58	241.923	236.11	224.698	187.243	232.495	231.982	223.156	239.462	243.623	281.021	292.485	202.156	173.004	169.564	187.377	163.001	205.561
 Mfng	896.185	504.769	712.983	618.509	713.967	711.933	632.709	309.654	160.276	424.344	267.582	283.928	530.97	544.449	423.222	322.013	438.796	205.681	228.859	281.861	409.823	362.85	328.319	302.063	281.804	303.014	343.002	364.686	339.881	224.811	287.845	309.109	375.93	340.481	313.07	278.7	313.498	285.748	286.353	300.682	279.836	218.71	271.983	265.68	349.229	372.418	234.554	231.123	197.423	156.03	271.236	132.153	118.67	122.274	118.5	291.328	235.135	144.504	156.585	279.319	77.0975	214.568	182.079	107.658	159.72	295.584	292.923	204.053	187.045	379.117	181.407	244.501	145.657	180.364	522.916	167.213	101.957	201.737	249.932	148.461	173.973	153.085	156.812	122.971	772.03	176.96	129.789	109.866	313.9	369.588	465.541	202.847	254.728	259.983	261.843	295.841	282.791	93.6906	150.031	85.1015	127.024	128.468	114.74	387.145	296.632	344.105	511.419	538.077	244.396	394.733	341.477	395.134	373.749	349.941	434.21	719.299	535.245	442.594	498.593	360.098	352.011	397.238	469.732	324.143	356.166	286.815	187.736	181.327	193.464	232.898	219.913	472.011	392.536	693.8	324.852	428.602	418.887	645.507	564.726	427.315	485.506	607.383	438.747	496.673	381.665	502.139	494.077	473.401	326.046	443.606	368.146	374.475	509.324	518.982	404.233	621.03	370.727	298.062	582.857	597.765	397.253	328.601	490.834	404.885	533.972	340.851	422.295	492.427	528.882	407.915	393.784	490.444	440.414	497.407	508.114	385.582	449.246	519.628	532.125	399.023	457.58	385.954	348.005	428.206	470.593	346.66	329.769	261.642	419.138	450.885	529.247	674.612	410.32	329.324	462.862	398.932	454.754	482.083	429.159	494.203	262.92	358.037	326.101	374.028	126.369	68.3301	63.1103	64.1004	57.8395	111.314	85.3131	998.088	909.195	120.414
 Notch4	57.2308	81.935	71.9085	87.998	90.0009	61.2772	59.4342	84.3454	57.7795	71.5839	65.2692	69.3204	64.273	62.702	70.0517	85.1152	59.7948	69.6424	76.9365	81.1175	59.47	61.0732	66.9311	65.4749	76.2921	84.8592	79.6809	78.0073	74.2182	72.9608	85.7726	75.7176	95.4374	80.4738	69.3854	104.463	73.6543	79.7694	511.209	551.521	108.358	331.553	163.977	119.018	75.7572	63.3622	117.372	443.395	114.021	87.1985	79.2365	92.2424	76.3981	89.9214	99.5263	103.244	299.331	98.8844	89.0743	74.9061	98.1312	113.895	276.952	98.5378	78.8689	82.8905	500.311	92.6816	382.872	72.639	130.766	118.752	217.502	155.937	79.3288	73.7518	77.1444	95.7418	70.1365	85.1279	68.0158	112.153	98.876	57.0012	152.191	66.7486	74.3733	71.8918	68.8265	84.3522	83.9356	85.3186	81.2604	91.5079	114.41	85.6318	87.4257	85.5024	103.299	95.2221	102.286	97.0522	98.5178	95.1625	100.81	102.567	83.2083	73.0218	81.5755	87.1425	84.9421	85.1261	102.488	87.6822	89.0159	63.0713	74.4353	59.2788	62.3308	66.3168	70.2516	74.0704	75.1581	75.5777	75.0211	58.6613	84.5662	68.2	90.76	81.6806	108.064	92.1415	78.3789	81.7701	97.3027	70.37	74.5132	70.4325	71.5957	82.3096	74.4486	86.8949	79.7111	77.2331	91.8083	91.7914	81.6587	90.1989	86.5134	72.2329	81.5966	81.649	66.4884	92.006	91.7784	74.7628	89.4121	103.136	80.2098	64.7153	81.2919	106.895	100.344	116.768	80.9176	104.526	69.8479	69.6049	70.4904	66.661	81.2045	84.3894	87.8214	86.226	85.0631	79.9543	67.0978	87.5928	79.5076	84.4339	78.3384	93.0667	78.0943	65.046	59.539	75.8038	58.8656	74.0285	71.3105	87.0303	67.5993	81.6053	70.2885	83.2974	83.6661	88.8289	72.7908	88.3265	83.534	78.4497	82.321	76.8007	79.9142	64.1494	94.2378	116.192	75.9434	71.7698	67.2401	75.8673	69.6911	808.465	894.356	122.927
 Notch3	90.8834	103.834	96.6134	102.424	135.32	96.9092	88.3565	119.143	81.0518	96.7406	87.6573	97.9443	81.5042	99.9463	87.0584	102.596	79.6583	78.1593	89.5734	104.647	102.092	122.752	99.4809	96.6875	85.4288	109.556	96.4208	94.1961	89.7739	75.2898	101.754	92.98	108.122	106.802	103.873	120.692	92.6017	99.6763	84.8654	83.8176	96.1178	118.488	116.514	116.892	288.079	289.848	127.492	118.067	92.1933	92.2413	157.239	101.256	84.7944	96.5714	114.933	118.641	106.887	98.5612	99.2535	234.316	105.368	108.01	111.324	110.116	98.4188	90.6958	106.427	106.857	114.694	88.9124	90.8446	94.4954	95.3556	97.084	93.4634	95.8481	90.5006	124.436	80.2995	91.6633	84.2559	113.404	102.644	84.5621	110.91	93.9661	82.4471	95.7303	84.8897	111.758	111.326	94.9504	96.7427	114.286	128.663	94.9368	102.468	103.2	122.834	114.235	150.491	134.94	128.826	104.799	100.562	103.904	94.5097	96.1147	97.1355	91.4477	101.442	113.431	107.733	89.4213	97.6227	124.902	150.268	277.472	235.723	376.242	537.396	2298.94	452.067	241.315	239.298	307.455	187.509	304.952	184.482	122.994	125.185	121.17	104.615	96.053	170.266	146.315	127.985	97.6657	93.2907	86.6781	103.43	88.1389	100.536	98.5538	101.425	101.024	98.9032	82.8779	98.4834	104.341	105.213	92.644	83.4628	110.069	107.365	101.671	107.406	116.327	96.3133	82.2487	102.539	121.08	112.115	123.849	108.318	123.069	96.0907	88.504	94.2877	128.99	192.941	168.458	118.678	127.153	117.158	100.94	93.6793	117.711	112.791	101.909	94.2752	114.647	144.971	119.574	97.5215	200.013	160.62	134.385	111.549	101.404	79.5739	109.63	99.3365	124.488	103.647	86.496	119.878	120.026	111.008	134.106	91.7974	99.2843	98.3754	88.7898	115.01	596.327	175.999	1001.56	1244.6	113.649	104.2	240.474	237.562	2958.04
 Notch1	303.889	323.232	787.444	459.206	971.592	784.251	256.877	178.003	95.3914	336.276	644.879	563.298	1171.9	809.903	2251.66	1763.86	783.808	438.893	724.801	454.023	1780.1	1952.05	658.013	1134	413.418	315.11	258.933	276.377	259.297	146.006	295.832	240.085	263.086	173.821	222.691	247.802	214.918	198.438	170.342	175.574	131.152	190.665	164.68	176.408	1313.19	1253.27	203.622	205.163	139.552	129.751	938.827	142.524	129.468	146.154	122.655	149.566	186.049	159.829	126.951	937.248	361.424	581.895	274.335	128.674	149.267	475.259	290.313	650.977	661.007	339.167	190.831	218.475	187.856	244.724	343.626	224.094	467.152	336.939	606.036	1082.48	849.824	749.183	728.29	767.94	373.171	470.75	470.581	404.813	642.441	717.972	466.144	881.503	498.876	344.934	383.438	300.595	352.717	1512.88	1147.48	1318.1	876.318	1290.11	1050.13	666.201	547.245	583.936	687.369	676.593	1067.71	638.537	1470.48	786.906	624.08	507.641	839.735	2814.26	3468.3	2577.42	2515.12	2503.41	3349.25	5827.58	2798.42	1584.3	1625.27	2159.36	1048.28	1586.07	797.556	731.779	640.664	1117.56	1117.52	1394.5	1048.15	1159.09	1063.04	1524.83	1014.89	1131.13	969.907	1293.15	1121.39	1166.55	923.467	996.338	1073.12	1062.08	1048.65	1072.57	1110.94	826.143	1046.83	1365.81	948.443	1504.29	857.323	1055.77	1311.48	1021	799.384	730.455	966.288	666.392	966.399	686.84	921.437	650.761	446.392	785.844	804.797	937.747	805.061	771.627	770.311	628.445	738.351	1056.16	814.81	859.002	1066.59	906.543	911.445	687.67	734.776	1257.1	763.541	411.469	528.786	668.197	733.501	748.021	743.764	765.207	1436.82	1148.49	879.71	1034	1410.22	1359.06	644.485	655.933	792.406	806.666	559.081	692.304	195.961	300.834	461.695	1422.64	1417.53	1514.18	1515.35	562.661
